flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
923,ALB,JFK,x67,XXXXX--,14:00,14:45,,,,,
923,ALB,JFK,67,-----XX,15:15,16:00,,,,,
927,ALB,JFK,67,-----XX,20:00,20:45,,,,,
921,ALB,JFK,x67,XXXXX--,21:00,21:45,,,,,
435,ANU,POS,146,X--X-X-,17:45,19:05,,,1970-07-21 00:00:00,,
230,ANU,SKB,67,-----XX,13:50,14:25,,,,,
990,ATL,MIA,DLY,XXXXXXX,08:30,10:10,,,,,
994,ATL,MIA,DLY,XXXXXXX,13:30,15:15,,,,,
998,ATL,MIA,DLY,XXXXXXX,18:55,18:35,,,,,
972,ATL,JFK,x67,XXXXX--,08:10,10:10,,,,,
976,ATL,JFK,DLY,XXXXXXX,13:25,15:24,,,,,
974,ATL,JFK,x67,XXXXX--,16:30,18:45,,,,,
978,ATL,JFK,DLY,XXXXXXX,18:00,20:15,,,,,
812,AUC,HNL,146,X--X-X-,19:50,06:00,,,,,
816,AKL,LAX,26,-X---X-,06:30,11:25,,,,,
816,AKL,MEL,26,-X---X-,07:25,09:10,,,,,
811,AKL,SYD,146,X--X-X-,09:00,10:15,,,,,
2,AUS,DFW,DLY,XXXXXXX,11:25,12:15,,,1970-07-21 00:00:00,,
436,BGI,MIA,235,-XX-X--,08:20,11:55,,,,,
220,BGI,JFK,DLY,XXXXXXX,10:00,14:35,,,,,
219,BGI,POS,x26,X-XXX-X,15:35,16:35,,,,,
435,BGI,POS,257,-X--X-X,18:05,19:05,,,,,
18,PEK,NRT,5,----X--,09:20,14:30,,,,,
631,TXL,FRA,DLY,XXXXXXX,06:20,07:20,,,,,
639,TXL,FRA,x67,XXXXX--,06:30,07:30,,,1984-07-21 00:00:00,1984-08-30 00:00:00,
633,TXL,FRA,DLY,XXXXXXX,07:15,08:15,,,,,
635,TXL,FRA,DLY,XXXXXXX,08:30,09:30,,,,,
637,TXL,FRA,DLY,XXXXXXX,09:10,10:10,,,,,
641,TXL,FRA,DLY,XXXXXXX,10:15,11:15,,,,,
